#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:45:20.372845,20.0477671332128,-17.20217784161889,30.79182403213872
2023-01-10 13:45:20.804685,20.05795766267056,-17.203046662553447,30.789849123329077
2023-01-10 13:45:21.241014,20.054560819517974,-17.197517802060815,30.797827754920036
2023-01-10 13:45:21.692923,20.054718812222745,-17.202572760225507,30.793798940948363
2023-01-10 13:45:22.144798,20.05313888517503,-17.199887313700515,30.79071808320532
2023-01-10 13:45:22.579831,20.0416844140791,-17.196096095076996,30.80533240839668
2023-01-10 13:45:23.014726,20.0405784651457,-17.19735983461817,30.80201456159648
2023-01-10 13:45:23.449691,20.04042047244093,-17.20004528114316,30.804384452168048
2023-01-10 13:45:23.885563,20.041052443260014,-17.192541827617447,30.69102468649453
2023-01-10 13:45:24.320745,20.031809870030884,-17.195069306699793,30.10036895970643
2023-01-10 13:45:24.754065,20.029992953926012,-17.19214690901083,30.10044795605882
2023-01-10 13:45:25.191248,20.030308939335555,-17.192067925289507,30.100842937820744
2023-01-10 13:45:25.839291,20.03038793568794,-17.19570117647038,30.097525091020543
2023-01-10 13:45:26.278284,20.032757826259513,-17.192225892732154,30.094286240572725
2023-01-10 13:45:26.728753,20.027149085240126,-17.19190995784686,30.097288101963386
2023-01-10 13:45:27.181445,20.0328368226119,-17.194358453207883,30.100763941468355
2023-01-10 13:45:27.632194,20.032283848145198,-17.196491013683612,30.09878903265871
2023-01-10 13:45:28.085584,20.03354778978337,-17.185828211304965,30.102975839335162
2023-01-10 13:45:28.535224,20.038129578221742,-17.186697032239522,30.10036895970643
2023-01-10 13:45:28.985665,20.041605417726714,-17.196727964847582,30.338937943911333
2023-01-10 13:45:29.436112,20.047135162393715,-17.198939509044635,30.802962517825105
2023-01-10 13:45:29.928336,20.04294835571727,-17.19499032297847,30.804700437577594
2023-01-10 13:45:30.381534,20.05132196907016,-17.195622192749056,30.799012700205818
2023-01-10 13:45:30.836332,20.04429129370783,-17.200914102077718,30.79988166008206
2023-01-10 13:45:31.288832,20.043264341126815,-17.195543209027733,30.80256753606318
2023-01-10 13:45:31.746114,20.046582187927015,-17.201624955569628,30.802488539710794
2023-01-10 13:45:32.198595,20.046029213460315,-17.20123003696301,30.80256753606318
2023-01-10 13:45:32.652465,20.045160253584072,-17.19522727414244,30.80256753606318
2023-01-10 13:45:33.101689,20.0450022608793,-17.199650362536545,30.798380729386736
2023-01-10 13:45:33.555956,20.049742042022444,-17.19807068811008,30.783924396900147
2023-01-10 13:45:34.049268,20.044765271822143,-17.19167300668289,30.33159128313946
2023-01-10 13:45:34.501174,20.04097344690763,-17.194358453207883,30.09926301077303
2023-01-10 13:45:34.955342,20.03852455998367,-17.197517802060815,30.10313383203993
2023-01-10 13:45:35.374442,20.03591768035494,-17.193252681109357,30.0955501822109
2023-01-10 13:45:35.796084,20.0372606183455,-17.19356861599465,30.09878903265871
2023-01-10 13:45:36.214159,20.042711366660114,-17.18811873922334,30.09341728069648
2023-01-10 13:45:36.658425,20.029913957573626,-17.19546422530641,30.10471375908764
2023-01-10 13:45:37.073646,20.037023629288342,-17.198386622995372,30.0944442332775
2023-01-10 13:45:37.491080,20.040025490679,-17.197991704388755,30.09460222598227
2023-01-10 13:45:37.949432,20.035127716831084,-17.191751990404214,30.097446094668157
2023-01-10 13:45:38.369911,20.038998538097985,-17.193252681109357,30.094365236925114
2023-01-10 13:45:38.785398,20.041447425021943,-17.193410648552003,30.209067940589197
